Rank 	Cards 	% won 	% tied
135 	K2o 	6.8% 	2.4%
136 	64o 	6.8% 	2.1%
137 	Q6o 	6.6% 	2.9%
138 	53o 	6.6% 	2.1%
139 	85o 	6.3% 	2.5%
140 	T6o 	6.3% 	2.9%
141 	Q5o 	6.3% 	2.9%
142 	43o 	6.2% 	1.8%
143 	Q4o 	6.1% 	2.7%
144 	Q3o 	6.1% 	2.5%
145 	74o 	6.0% 	2.2%
146 	Q2o 	6.0% 	2.3%
147 	J6o 	5.9% 	2.9%
148 	63o 	5.7% 	1.9%
149 	J5o 	5.6% 	2.9%
150 	95o 	5.6% 	2.6%
151 	52o 	5.6% 	1.9%
152 	J4o 	5.5% 	2.7%
153 	J3o 	5.4% 	2.5%
154 	42o 	5.4% 	1.6%
155 	J2o 	5.3% 	2.3%
156 	84o 	5.3% 	2.3%
157 	T5o 	5.2% 	3.0%
158 	T4o 	5.0% 	2.8%
159 	32o 	5.0% 	1.4%
160 	T3o 	5.0% 	2.6%
161 	73o 	4.9% 	2.0%
162 	T2o 	4.9% 	2.3%
163 	62o 	4.7% 	1.7%
164 	94o 	4.7% 	2.4%
165 	93o 	4.5% 	2.2%
166 	92o 	4.5% 	2.0%
167 	83o 	4.3% 	2.1%
168 	82o 	4.2% 	1.9%
169 	72o 	4.0% 	1.9%
